index,rtl_hex,rtl_q16_integer,rtl_float,reference_float,signed_error,absolute_error,absolute_error_lsb,error_vs_rounded_reference_lsb
0,FFFFD893,-10093,-0.1540069580078125,-0.155806,0.0017990419921875,0.0017990419921875,117.902016,118
1,FFFFF0BD,-3907,-0.0596160888671875,-0.060367,0.000750911132812497,0.000750911132812497,49.21171199999981,49
2,FFFFD60D,-10739,-0.1638641357421875,-0.164219,0.00035486425781250386,0.00035486425781250386,23.256384000000253,23
3,FFFFE672,-6542,-0.099822998046875,-0.100893,0.0010700019531249966,0.0010700019531249966,70.12364799999978,70
4,FFFFF4C7,-2873,-0.0438385009765625,-0.044024,0.00018549902343750063,0.00018549902343750063,12.156864000000041,12
5,0000020B,523,0.0079803466796875,0.00781,0.0001703466796874999,0.0001703466796874999,11.163839999999993,11
6,FFFFD477,-11145,-0.1700592041015625,-0.169335,-0.0007242041015624867,0.0007242041015624867,47.46143999999913,-47
7,FFFFC148,-16056,-0.2449951171875,-0.243764,-0.0012311171874999915,0.0012311171874999915,80.68249599999945,-81
8,FFFFFCEE,-786,-0.011993408203125,-0.012034,4.059179687499956e-05,4.059179687499956e-05,2.660223999999971,3
9,FFFFF6C1,-2367,-0.0361175537109375,-0.036632,0.0005144462890624979,0.0005144462890624979,33.71475199999986,34
10,FFFFD1AA,-11862,-0.180999755859375,-0.180094,-0.0009057558593749959,0.0009057558593749959,59.35961599999973,-59
11,00001A48,6728,0.1026611328125,0.102997,-0.0003358671875000052,0.0003358671875000052,22.011392000000342,-22
12,00001C38,7224,0.1102294921875,0.112059,-0.0018295078125000058,0.0018295078125000058,119.89862400000038,-120
13,FFFFFCF4,-780,-0.01190185546875,-0.011705,-0.00019685546874999987,0.00019685546874999987,12.901119999999992,-13
14,0000616F,24943,0.3805999755859375,0.379573,0.0010269755859375063,0.0010269755859375063,67.30387200000041,67
15,00003C8C,15500,0.23651123046875,0.234733,0.0017782304687500028,0.0017782304687500028,116.53811200000018,117
16,FFFFEEB2,-4430,-0.067596435546875,-0.068762,0.0011655644531250037,0.0011655644531250037,76.38643200000024,76
17,000036CB,14027,0.2140350341796875,0.214812,-0.0007769658203125029,0.0007769658203125029,50.91923200000019,-51
