index,rtl_hex,rtl_q16_integer,rtl_float,reference_float,signed_error,absolute_error,absolute_error_lsb,error_vs_rounded_reference_lsb
0,00004D64,19812,0.30230712890625,0.302803,-0.0004958710937499888,0.0004958710937499888,32.49740799999927,-32
1,FFFFC0C8,-16184,-0.2469482421875,-0.246015,-0.0009332421874999886,0.0009332421874999886,61.16095999999925,-61
2,FFFFC4AC,-15188,-0.23175048828125,-0.232609,0.0008585117187500102,0.0008585117187500102,56.26342400000067,56
3,0000609F,24735,0.3774261474609375,0.379335,-0.0019088525390624778,0.0019088525390624778,125.09855999999854,-125
4,0000B9C5,47557,0.7256622314453125,0.727008,-0.0013457685546874876,0.0013457685546874876,88.19628799999919,-88
5,00000959,2393,0.0365142822265625,0.038121,-0.001606717773437502,0.001606717773437502,105.29785600000014,-105
6,00002205,8709,0.1328887939453125,0.134469,-0.0015802060546875052,0.0015802060546875052,103.56038400000034,-104
7,00003241,12865,0.1963043212890625,0.195859,0.0004453212890624947,0.0004453212890624947,29.18457599999965,29
8,FFFFF568,-2712,-0.0413818359375,-0.039374,-0.0020078359375000007,0.0020078359375000007,131.58553600000005,-132
9,00003B11,15121,0.2307281494140625,0.232114,-0.001385850585937487,0.001385850585937487,90.82310399999915,-91
10,000024B3,9395,0.1433563232421875,0.141901,0.0014553232421875006,0.0014553232421875006,95.37606400000004,95
11,FFFFDF53,-8365,-0.1276397705078125,-0.12568,-0.001959770507812514,0.001959770507812514,128.4355200000009,-128
12,FFFFDCEE,-8978,-0.136993408203125,-0.138734,0.0017405917968749962,0.0017405917968749962,114.07142399999975,114
13,FFFFD7D6,-10282,-0.156890869140625,-0.157767,0.0008761308593749906,0.0008761308593749906,57.41811199999938,57
14,FFFFF022,-4062,-0.061981201171875,-0.061681,-0.0003002011718750003,0.0003002011718750003,19.67398400000002,-20
15,FFFFEC53,-5037,-0.0768585205078125,-0.076101,-0.000757520507812498,0.000757520507812498,49.64486399999987,-50
16,0000549E,21662,0.330535888671875,0.332463,-0.0019271113281250085,0.0019271113281250085,126.29516800000056,-126
17,000018BF,6335,0.0966644287109375,0.094819,0.0018454287109374995,0.0018454287109374995,120.94201599999997,121
18,FFFFC487,-15225,-0.2323150634765625,-0.230635,-0.0016800634765624933,0.0016800634765624933,110.10463999999956,-110
19,FFFFE561,-6815,-0.1039886474609375,-0.104817,0.0008283525390624935,0.0008283525390624935,54.286911999999575,54
20,000023A9,9129,0.1392974853515625,0.137496,0.001801485351562493,0.001801485351562493,118.06214399999953,118
21,FFFFECF9,-4871,-0.0743255615234375,-0.072927,-0.0013985615234374943,0.0013985615234374943,91.65612799999963,-92
22,00002D4A,11594,0.176910400390625,0.175186,0.0017244003906249916,0.0017244003906249916,113.01030399999945,113
23,FFFFE7FF,-6145,-0.0937652587890625,-0.092769,-0.0009962587890624958,0.0009962587890624958,65.29081599999972,-65
24,FFFFFCF2,-782,-0.011932373046875,-0.013148,0.001215626953125,0.001215626953125,79.667328,80
25,00002A6F,10863,0.1657562255859375,0.16518,0.0005762255859375065,0.0005762255859375065,37.763520000000426,38
26,0000143D,5181,0.0790557861328125,0.078004,0.0010517861328124961,0.0010517861328124961,68.92985599999975,69
27,FFFFEDD2,-4654,-0.071014404296875,-0.071315,0.0003005957031250034,0.0003005957031250034,19.699840000000222,20
28,00001806,6150,0.093841552734375,0.092201,0.0016405527343749948,0.0016405527343749948,107.51526399999966,108
29,FFFFC9A9,-13911,-0.2122650146484375,-0.210378,-0.0018870146484374906,0.0018870146484374906,123.66739199999938,-124
30,FFFFF8E8,-1816,-0.0277099609375,-0.027095,-0.000614960937499999,0.000614960937499999,40.30207999999993,-40
31,FFFFF1DD,-3619,-0.0552215576171875,-0.05692,0.0016984423828124984,0.0016984423828124984,111.3091199999999,111
32,00004254,16980,0.25909423828125,0.260614,-0.0015197617187500123,0.0015197617187500123,99.5991040000008,-100
33,FFFFBC5D,-17315,-0.2642059326171875,-0.263141,-0.0010649326171874862,0.0010649326171874862,69.7914239999991,-70
34,FFFFCBA9,-13399,-0.2044525146484375,-0.203134,-0.001318514648437491,0.001318514648437491,86.41017599999941,-86
35,FFFFE7B9,-6215,-0.0948333740234375,-0.093608,-0.0012253740234375032,0.0012253740234375032,80.30611200000021,-80
36,00005B0F,23311,0.3556976318359375,0.356582,-0.0008843681640625101,0.0008843681640625101,57.95795200000066,-58
37,FFFFF1AE,-3666,-0.055938720703125,-0.057187,0.0012482792968750017,0.0012482792968750017,81.80723200000011,82
38,00000030,48,0.000732421875,0.000972,-0.000239578125,0.000239578125,15.700992,-16
39,00001BDF,7135,0.1088714599609375,0.108071,0.0008004599609374996,0.0008004599609374996,52.458943999999974,52
40,FFFFE73E,-6338,-0.096710205078125,-0.097118,0.000407794921874996,0.000407794921874996,26.725247999999738,27
41,00003176,12662,0.193206787109375,0.192438,0.000768787109375002,0.000768787109375002,50.383232000000135,50
42,0000A42C,42028,0.64129638671875,0.641037,0.00025938671875003205,0.00025938671875003205,16.9991680000021,17
43,FFFFC02E,-16338,-0.249298095703125,-0.250861,0.0015629042968750007,0.0015629042968750007,102.42649600000004,102
44,FFFFF1A2,-3678,-0.056121826171875,-0.05554,-0.0005818261718750009,0.0005818261718750009,38.13056000000006,-38
45,FFFFDC48,-9144,-0.1395263671875,-0.139308,-0.0002183671875000126,0.0002183671875000126,14.310912000000826,-14
46,FFFFE42A,-7126,-0.108734130859375,-0.110386,0.001651869140624998,0.001651869140624998,108.25689599999987,108
47,000026AD,9901,0.1510772705078125,0.149912,0.0011652705078125103,0.0011652705078125103,76.36716800000067,76
48,00000591,1425,0.0217437744140625,0.02112,0.0006237744140625001,0.0006237744140625001,40.87968000000001,41
49,FFFFD869,-10135,-0.1546478271484375,-0.15397,-0.0006778271484375042,0.0006778271484375042,44.42208000000028,-44
50,FFFFEA59,-5543,-0.0845794677734375,-0.083909,-0.0006704677734375025,0.0006704677734375025,43.939776000000165,-44
51,FFFFCD5C,-12964,-0.19781494140625,-0.197196,-0.0006189414062499898,0.0006189414062499898,40.562943999999334,-41
52,0000886E,34926,0.532928466796875,0.531533,0.0013954667968749668,0.0013954667968749668,91.45331199999782,91
53,FFFFE790,-6256,-0.095458984375,-0.097235,0.001776015625000002,0.001776015625000002,116.39296000000013,116
54,00001253,4691,0.0715789794921875,0.072784,-0.0012050205078125015,0.0012050205078125015,78.9722240000001,-79
55,00001695,5781,0.0882110595703125,0.089,-0.0007889404296874958,0.0007889404296874958,51.70399999999972,-52
56,00001461,5217,0.0796051025390625,0.080581,-0.0009758974609374998,0.0009758974609374998,63.95641599999999,-64
57,00004FCF,20431,0.3117523193359375,0.311764,-1.168066406248558e-05,1.168066406248558e-05,0.7655039999990549,-1
58,00006B55,27477,0.4192657470703125,0.421041,-0.0017752529296874986,0.0017752529296874986,116.34297599999991,-116
59,FFFFEB79,-5255,-0.0801849365234375,-0.078411,-0.0017739365234375054,0.0017739365234375054,116.25670400000035,-116
60,FFFFBD7E,-17026,-0.259796142578125,-0.259716,-8.014257812499759e-05,8.014257812499759e-05,5.252223999999842,-5
61,FFFFF69B,-2405,-0.0366973876953125,-0.03858,0.0018826123046875032,0.0018826123046875032,123.37888000000021,123
62,FFFFEA75,-5515,-0.0841522216796875,-0.084872,0.000719778320312503,0.000719778320312503,47.171392000000196,47
63,00002EC2,11970,0.182647705078125,0.182844,-0.00019629492187500652,0.00019629492187500652,12.864384000000427,-13
