index,rtl_hex,rtl_q16_integer,rtl_float,reference_float,signed_error,absolute_error,absolute_error_lsb,error_vs_rounded_reference_lsb
0,00000A07,2567,0.0391693115234375,0.040592,-0.001422688476562503,0.001422688476562503,93.2373120000002,-93
1,FFFFD5C5,-10811,-0.1649627685546875,-0.16392,-0.0010427685546874899,0.0010427685546874899,68.33887999999934,-68
2,00004845,18501,0.2823028564453125,0.282882,-0.0005791435546875223,0.0005791435546875223,37.95475200000146,-38
3,FFFFEFF1,-4111,-0.0627288818359375,-0.062844,0.00011511816406249709,0.00011511816406249709,7.544383999999809,8
4,FFFFD5A5,-10843,-0.1654510498046875,-0.166109,0.0006579501953125066,0.0006579501953125066,43.119424000000436,43
5,00003723,14115,0.2153778076171875,0.214796,0.0005818076171875131,0.0005818076171875131,38.129344000000856,38
6,00003424,13348,0.20367431640625,0.201833,0.0018413164062499876,0.0018413164062499876,120.67251199999919,121
7,FFFFD9DA,-9766,-0.149017333984375,-0.14729,-0.0017273339843749957,0.0017273339843749957,113.20255999999972,-113
8,FFFFBDAB,-16981,-0.2591094970703125,-0.257444,-0.0016654970703124938,0.0016654970703124938,109.1500159999996,-109
9,FFFFCCE0,-13088,-0.19970703125,-0.200898,0.0011909687499999932,0.0011909687499999932,78.05132799999956,78
10,00003986,14726,0.224700927734375,0.225142,-0.0004410722656250088,0.0004410722656250088,28.906112000000576,-29
11,FFFFF7F5,-2059,-0.0314178466796875,-0.032337,0.0009191533203124977,0.0009191533203124977,60.23763199999985,60
12,0000291D,10525,0.1605987548828125,0.160195,0.00040375488281249594,0.00040375488281249594,26.460479999999734,26
13,FFFFC6DA,-14630,-0.223236083984375,-0.223148,-8.808398437498699e-05,8.808398437498699e-05,5.772671999999147,-6
14,FFFFCDDF,-12833,-0.1958160400390625,-0.195914,9.795996093750481e-05,9.795996093750481e-05,6.419904000000315,6
15,00001814,6164,0.09405517578125,0.095838,-0.0017828242187500065,0.0017828242187500065,116.83916800000043,-117
16,FFFFC3CC,-15412,-0.23516845703125,-0.236284,0.001115542968749994,0.001115542968749994,73.10822399999961,73
17,FFFFD6D8,-10536,-0.1607666015625,-0.161953,0.0011863984375000136,0.0011863984375000136,77.75180800000089,78
18,FFFFF7F5,-2059,-0.0314178466796875,-0.033003,0.0015851533203124976,0.0015851533203124976,103.88460799999984,104
19,FFFFC8C3,-14141,-0.2157745361328125,-0.215298,-0.0004765361328125106,0.0004765361328125106,31.230272000000696,-31
20,FFFFE5E6,-6682,-0.101959228515625,-0.102553,0.0005937714843750053,0.0005937714843750053,38.913408000000345,39
21,00003451,13393,0.2043609619140625,0.203643,0.0007179619140625093,0.0007179619140625093,47.05235200000061,47
22,0000261B,9755,0.1488494873046875,0.147396,0.0014534873046875008,0.0014534873046875008,95.25574400000005,95
23,00002126,8486,0.129486083984375,0.130365,-0.0008789160156250087,0.0008789160156250087,57.60064000000057,-58
24,FFFFDEDD,-8483,-0.1294403076171875,-0.127811,-0.001629307617187492,0.001629307617187492,106.77830399999948,-107
25,FFFFE9E9,-5655,-0.0862884521484375,-0.087149,0.0008605478515625042,0.0008605478515625042,56.39686400000028,56
26,00003643,13891,0.2119598388671875,0.210465,0.0014948388671874868,0.0014948388671874868,97.96575999999914,98
27,0000263D,9789,0.1493682861328125,0.149141,0.0002272861328125042,0.0002272861328125042,14.895424000000276,15
28,FFFFE9D4,-5676,-0.08660888671875,-0.08838,0.0017711132812500002,0.0017711132812500002,116.07168000000001,116
29,0000295C,10588,0.16156005859375,0.163112,-0.001551941406250007,0.001551941406250007,101.70803200000046,-102
30,00001611,5649,0.0861968994140625,0.084652,0.001544899414062495,0.001544899414062495,101.24652799999967,101
31,00003853,14419,0.2200164794921875,0.218961,0.001055479492187511,0.001055479492187511,69.17190400000072,69
32,000008FB,2299,0.0350799560546875,0.033714,0.001365956054687499,0.001365956054687499,89.51929599999994,90
33,FFFFCD40,-12992,-0.1982421875,-0.199367,0.0011248124999999887,0.0011248124999999887,73.71571199999926,74
34,00002CDC,11484,0.17523193359375,0.173796,0.001435933593749994,0.001435933593749994,94.1053439999996,94
35,FFFFF20C,-3572,-0.05450439453125,-0.052815,-0.0016893945312499992,0.0016893945312499992,110.71615999999995,-111
36,FFFFC467,-15257,-0.2328033447265625,-0.231582,-0.00122134472656249,0.00122134472656249,80.04204799999934,-80
37,000009F9,2553,0.0389556884765625,0.038167,0.0007886884765625005,0.0007886884765625005,51.68748800000003,52
38,00002BE9,11241,0.1715240478515625,0.170071,0.0014530478515625,0.0014530478515625,95.226944,95
39,FFFFFF03,-253,-0.0038604736328125,-0.004166,0.00030552636718750043,0.00030552636718750043,20.02297600000003,20
40,FFFFC945,-14011,-0.2137908935546875,-0.214415,0.0006241064453124945,0.0006241064453124945,40.90143999999964,41
41,FFFFCB1E,-13538,-0.206573486328125,-0.205268,-0.001305486328124994,0.001305486328124994,85.5563519999996,-86
42,00003C82,15490,0.236358642578125,0.237886,-0.0015273574218749864,0.0015273574218749864,100.0968959999991,-100
43,FFFFF312,-3310,-0.050506591796875,-0.049584,-0.0009225917968749969,0.0009225917968749969,60.4629759999998,-60
44,000073B6,29622,0.451995849609375,0.451381,0.0006148496093750233,0.0006148496093750233,40.29478400000153,40
45,000003FF,1023,0.0156097412109375,0.015641,-3.1258789062498654e-05,3.1258789062498654e-05,2.048575999999912,-2
