index,rtl_hex,rtl_q16_integer,rtl_float,reference_float,signed_error,absolute_error,absolute_error_lsb,error_vs_rounded_reference_lsb
0,000006FA,1786,0.027252197265625,0.025467,0.001785197265625,0.001785197265625,116.994688,117
1,00001FDA,8154,0.124420166015625,0.124231,0.0001891660156250058,0.0001891660156250058,12.39718400000038,12
2,FFFFEE13,-4589,-0.0700225830078125,-0.07153,0.0015074169921874964,0.0015074169921874964,98.79007999999976,99
3,00004E5D,20061,0.3061065673828125,0.307687,-0.0015804326171874883,0.0015804326171874883,103.57523199999923,-104
4,000001FE,510,0.007781982421875,0.006929,0.0008529824218749997,0.0008529824218749997,55.90105599999998,56
5,FFFFF20E,-3570,-0.054473876953125,-0.054141,-0.0003328769531249984,0.0003328769531249984,21.815423999999894,-22
6,000000FE,254,0.003875732421875,0.004576,-0.0007002675781250002,0.0007002675781250002,45.89273600000001,-46
7,00000FE1,4065,0.0620269775390625,0.062671,-0.0006440224609375045,0.0006440224609375045,42.206656000000294,-42
8,FFFFE41E,-7138,-0.108917236328125,-0.108566,-0.00035123632812500416,0.00035123632812500416,23.018624000000273,-23
9,FFFFF210,-3568,-0.054443359375,-0.053315,-0.0011283593749999987,0.0011283593749999987,73.94815999999992,-74
10,FFFFCF37,-12489,-0.1905670166015625,-0.191277,0.0007099833984375026,0.0007099833984375026,46.52947200000017,47
11,FFFFF612,-2542,-0.038787841796875,-0.038018,-0.0007698417968749968,0.0007698417968749968,50.45235199999979,-50
12,00003AAA,15018,0.229156494140625,0.227392,0.0017644941406249892,0.0017644941406249892,115.6378879999993,116
13,00005087,20615,0.3145599365234375,0.314856,-0.00029606347656252474,0.00029606347656252474,19.40281600000162,-19
14,000021C0,8640,0.1318359375,0.131772,6.393749999999976e-05,6.393749999999976e-05,4.190207999999984,4
15,000010DC,4316,0.06585693359375,0.066356,-0.0004990664062499983,0.0004990664062499983,32.70681599999989,-33
16,00001ED0,7888,0.120361328125,0.119575,0.0007863281249999993,0.0007863281249999993,51.53279999999995,52
17,FFFFD85D,-10147,-0.1548309326171875,-0.1532,-0.0016309326171874972,0.0016309326171874972,106.88479999999981,-107
18,FFFFF50B,-2805,-0.0428009033203125,-0.04447,0.0016690966796875026,0.0016690966796875026,109.38592000000017,109
19,FFFFC63E,-14786,-0.225616455078125,-0.225262,-0.00035445507812501,0.00035445507812501,23.229568000000654,-23
20,00000CEE,3310,0.050506591796875,0.052177,-0.0016704082031250012,0.0016704082031250012,109.47187200000008,-109
21,FFFFE344,-7356,-0.11224365234375,-0.112921,0.0006773476562499936,0.0006773476562499936,44.39065599999958,44
22,FFFFE81A,-6118,-0.093353271484375,-0.092938,-0.0004152714843749933,0.0004152714843749933,27.21523199999956,-27
23,FFFFEC16,-5098,-0.077789306640625,-0.078091,0.00030169335937499375,0.00030169335937499375,19.77177599999959,20
24,FFFFEE19,-4583,-0.0699310302734375,-0.068948,-0.0009830302734375046,0.0009830302734375046,64.4238720000003,-64
25,000026D1,9937,0.1516265869140625,0.152357,-0.0007304130859374924,0.0007304130859374924,47.868351999999504,-48
26,FFFFBA98,-17768,-0.2711181640625,-0.272954,0.0018358359374999744,0.0018358359374999744,120.31334399999832,120
27,00006A9F,27295,0.4164886474609375,0.414889,0.0015996474609374922,0.0015996474609374922,104.83449599999949,105
28,FFFFCB3E,-13506,-0.206085205078125,-0.204988,-0.0010972050781249965,0.0010972050781249965,71.90643199999977,-72
29,FFFFD858,-10152,-0.1549072265625,-0.155532,0.0006247734375000036,0.0006247734375000036,40.945152000000235,41
30,00003FA5,16293,0.2486114501953125,0.249861,-0.0012495498046874998,0.0012495498046874998,81.89049599999998,-82
31,FFFFDA29,-9687,-0.1478118896484375,-0.146229,-0.0015828896484375021,0.0015828896484375021,103.73625600000014,-104
32,FFFFD642,-10686,-0.163055419921875,-0.163109,5.358007812500398e-05,5.358007812500398e-05,3.511424000000261,4
33,FFFFE31F,-7393,-0.1128082275390625,-0.11174,-0.001068227539062494,0.001068227539062494,70.00735999999961,-70
34,FFFFFA06,-1530,-0.023345947265625,-0.022189,-0.0011569472656249996,0.0011569472656249996,75.82169599999997,-76
35,00000DDF,3551,0.0541839599609375,0.053321,0.0008629599609374997,0.0008629599609374997,56.55494399999998,57
36,FFFFE133,-7885,-0.1203155517578125,-0.120321,5.4482421874973985e-06,5.4482421874973985e-06,0.3570559999998295,0
37,00000CEB,3307,0.0504608154296875,0.050545,-8.418457031249965e-05,8.418457031249965e-05,5.517119999999977,-6
38,FFFFE42D,-7123,-0.1086883544921875,-0.107849,-0.0008393544921874996,0.0008393544921874996,55.00793599999997,-55
39,FFFFEC15,-5099,-0.0778045654296875,-0.078982,0.0011774345703124967,0.0011774345703124967,77.16435199999978,77
40,000015CF,5583,0.0851898193359375,0.085017,0.00017281933593750465,0.00017281933593750465,11.325888000000305,11
41,FFFFD04E,-12210,-0.186309814453125,-0.187266,0.000956185546874988,0.000956185546874988,62.664575999999215,63
42,FFFFF515,-2795,-0.0426483154296875,-0.044507,0.001858684570312498,0.001858684570312498,121.81075199999987,122
43,00004CAD,19629,0.2995147705078125,0.299168,0.0003467705078125105,0.0003467705078125105,22.72595200000069,23
44,00001AD4,6868,0.10479736328125,0.105141,-0.00034363671874999835,0.00034363671874999835,22.520575999999892,-23
45,000036AD,13997,0.2135772705078125,0.215283,-0.0017057294921875021,0.0017057294921875021,111.78668800000014,-112
46,000025D8,9688,0.1478271484375,0.147435,0.0003921484374999895,0.0003921484374999895,25.699839999999313,26
47,00005279,21113,0.3221588134765625,0.322445,-0.00028618652343748163,0.00028618652343748163,18.755519999998796,-19
48,000031CD,12749,0.1945343017578125,0.194305,0.0002293017578124945,0.0002293017578124945,15.02751999999964,15
49,000034BC,13500,0.20599365234375,0.207353,-0.0013593476562500095,0.0013593476562500095,89.08620800000062,-89
50,FFFFDA56,-9642,-0.147125244140625,-0.145366,-0.0017592441406250048,0.0017592441406250048,115.29382400000031,-115
51,00000AE9,2793,0.0426177978515625,0.041784,0.0008337978515624983,0.0008337978515624983,54.64377599999989,55
52,FFFFE12E,-7890,-0.120391845703125,-0.119205,-0.0011868457031249946,0.0011868457031249946,77.78111999999965,-78
53,0000399A,14746,0.225006103515625,0.226001,-0.0009948964843750074,0.0009948964843750074,65.20153600000049,-65
54,FFFFEF11,-4335,-0.0661468505859375,-0.065444,-0.0007028505859374978,0.0007028505859374978,46.06201599999986,-46
55,FFFFF908,-1784,-0.0272216796875,-0.029039,0.0018173203124999988,0.0018173203124999988,119.09990399999992,119
56,000042A3,17059,0.2602996826171875,0.259831,0.00046868261718752136,0.00046868261718752136,30.7155840000014,31
57,00006914,26900,0.41046142578125,0.408995,0.0014664257812500026,0.0014664257812500026,96.10368000000017,96
58,000037B6,14262,0.217620849609375,0.218889,-0.0012681503906250002,0.0012681503906250002,83.10950400000002,-83
59,000016D7,5847,0.0892181396484375,0.089582,-0.00036386035156249497,0.00036386035156249497,23.84595199999967,-24
60,000051A0,20896,0.31884765625,0.318265,0.0005826562499999799,0.0005826562499999799,38.18495999999868,38
61,FFFFFB09,-1271,-0.0193939208984375,-0.018801,-0.0005929208984375017,0.0005929208984375017,38.85766400000011,-39
62,FFFFF708,-2296,-0.0350341796875,-0.035882,0.0008478203124999972,0.0008478203124999972,55.56275199999982,56
63,000034B2,13490,0.205841064453125,0.207292,-0.001450935546875004,0.001450935546875004,95.08851200000026,-95
64,FFFFFCF2,-782,-0.011932373046875,-0.011576,-0.0003563730468750005,0.0003563730468750005,23.355264000000034,-23
65,00003272,12914,0.197052001953125,0.197277,-0.0002249980468750079,0.0002249980468750079,14.745472000000518,-15
66,FFFFBE6C,-16788,-0.25616455078125,-0.257231,0.0010664492187499874,0.0010664492187499874,69.89081599999918,70
