index,rtl_hex,rtl_q16_integer,rtl_float,reference_float,signed_error,absolute_error,absolute_error_lsb,error_vs_rounded_reference_lsb
0,00003B72,15218,0.232208251953125,0.233112,-0.0009037480468750136,0.0009037480468750136,59.228032000000894,-59
1,0000223A,8762,0.133697509765625,0.132627,0.001070509765625005,0.001070509765625005,70.15692800000033,70
2,0000202A,8234,0.125640869140625,0.125345,0.00029586914062498804,0.00029586914062498804,19.390079999999216,19
3,FFFFE8F1,-5903,-0.0900726318359375,-0.089501,-0.0005716318359375028,0.0005716318359375028,37.46246400000018,-37
4,0000657B,25979,0.3964080810546875,0.395466,0.0009420810546875158,0.0009420810546875158,61.740224000001035,62
5,FFFFF6F8,-2312,-0.0352783203125,-0.034839,-0.0004393203124999981,0.0004393203124999981,28.791295999999875,-29
6,00000F08,3848,0.0587158203125,0.059739,-0.0010231796875000004,0.0010231796875000004,67.05510400000003,-67
7,00003454,13396,0.20440673828125,0.20463,-0.00022326171875000633,0.00022326171875000633,14.631680000000415,-15
8,00000000,0,0.0,0.001794,-0.001794,0.001794,117.571584,-118
9,FFFFE5D4,-6700,-0.10223388671875,-0.101212,-0.0010218867187500036,0.0010218867187500036,66.97036800000024,-67
10,00003934,14644,0.22344970703125,0.221767,0.001682707031250008,0.001682707031250008,110.27788800000053,110
11,FFFFF6FB,-2309,-0.0352325439453125,-0.035429,0.00019645605468750216,0.00019645605468750216,12.874944000000141,13
12,00000000,0,0.0,0.000567,-0.000567,0.000567,37.158912,-37
13,00000404,1028,0.01568603515625,0.014663,0.0010230351562499993,0.0010230351562499993,67.04563199999996,67
14,FFFFD1E2,-11806,-0.180145263671875,-0.178539,-0.0016062636718749967,0.0016062636718749967,105.26809599999979,-105
15,0000090C,2316,0.03533935546875,0.034369,0.0009703554687500032,0.0009703554687500032,63.59321600000021,64
16,000029F1,10737,0.1638336181640625,0.162331,0.001502618164062497,0.001502618164062497,98.4755839999998,98
17,00003683,13955,0.2129364013671875,0.211005,0.0019314013671875019,0.0019314013671875019,126.57632000000012,127
18,00003746,14150,0.215911865234375,0.215425,0.0004868652343749946,0.0004868652343749946,31.907199999999648,32
19,000003ED,1005,0.0153350830078125,0.014651,0.0006840830078124992,0.0006840830078124992,44.832063999999946,45
20,FFFFFD56,-682,-0.010406494140625,-0.011771,0.0013645058593750002,0.0013645058593750002,89.42425600000001,89
21,FFFFEB87,-5241,-0.0799713134765625,-0.079397,-0.0005743134765625046,0.0005743134765625046,37.638208000000304,-38
22,000000FB,251,0.0038299560546875,0.00366,0.00016995605468749994,0.00016995605468749994,11.138239999999996,11
23,0000137C,4988,0.07611083984375,0.077573,-0.001462160156250003,0.001462160156250003,95.8241280000002,-96
24,FFFFFA2E,-1490,-0.022735595703125,-0.021692,-0.0010435957031250005,0.0010435957031250005,68.39308800000003,-68
25,FFFFEBCE,-5170,-0.078887939453125,-0.078324,-0.0005639394531249953,0.0005639394531249953,36.95833599999969,-37
26,FFFFD609,-10743,-0.1639251708984375,-0.163094,-0.000831170898437511,0.000831170898437511,54.47161600000072,-54
27,00002394,9108,0.13897705078125,0.140549,-0.0015719492187500073,0.0015719492187500073,103.01926400000048,-103
28,00007559,30041,0.4583892822265625,0.45642,0.0019692822265625076,0.0019692822265625076,129.0588800000005,129
29,00006A7B,27259,0.4159393310546875,0.417258,-0.0013186689453125178,0.0013186689453125178,86.42028800000116,-86
30,FFFFEA53,-5549,-0.0846710205078125,-0.083356,-0.0013150205078125005,0.0013150205078125005,86.18118400000003,-86
31,00003E1D,15901,0.2426300048828125,0.240773,0.001857004882812513,0.001857004882812513,121.70067200000085,122
32,00004C75,19573,0.2986602783203125,0.299811,-0.0011507216796874942,0.0011507216796874942,75.41369599999962,-75
33,000043FF,17407,0.2656097412109375,0.264763,0.0008467412109374739,0.0008467412109374739,55.49203199999829,55
34,FFFFE998,-5736,-0.0875244140625,-0.089378,0.0018535859374999991,0.0018535859374999991,121.47660799999994,121
35,000005D9,1497,0.0228424072265625,0.021207,0.0016354072265624998,0.0016354072265624998,107.17804799999999,107
36,00009211,37393,0.5705718994140625,0.572174,-0.0016021005859374604,0.0016021005859374604,104.9952639999974,-105
37,00001C8B,7307,0.1114959716796875,0.112137,-0.0006410283203125006,0.0006410283203125006,42.01043200000004,-42
38,0000378F,14223,0.2170257568359375,0.21705,-2.424316406249294e-05,2.424316406249294e-05,1.5887999999995372,-2
39,000058A5,22693,0.3462677001953125,0.347126,-0.0008582998046874901,0.0008582998046874901,56.24953599999935,-56
40,FFFFF24A,-3510,-0.053558349609375,-0.055358,0.0017996503906249975,0.0017996503906249975,117.94188799999984,118
41,FFFFE1D9,-7719,-0.1177825927734375,-0.118843,0.0010604072265625042,0.0010604072265625042,69.49484800000027,69
42,FFFFFB4B,-1205,-0.0183868408203125,-0.018215,-0.00017184082031250145,0.00017184082031250145,11.261760000000095,-11
43,FFFFDB46,-9402,-0.143463134765625,-0.1422,-0.001263134765625007,0.001263134765625007,82.78080000000045,-83
44,FFFFF71B,-2277,-0.0347442626953125,-0.033933,-0.0008112626953125021,0.0008112626953125021,53.16691200000014,-53
45,00001399,5017,0.0765533447265625,0.077613,-0.0010596552734375014,0.0010596552734375014,69.4455680000001,-69
46,FFFFC97D,-13955,-0.2129364013671875,-0.214774,0.0018375986328124927,0.0018375986328124927,120.42886399999952,120
47,000038B1,14513,0.2214508056640625,0.222984,-0.0015331943359374878,0.0015331943359374878,100.4794239999992,-100
48,000066EF,26351,0.4020843505859375,0.40152,0.000564350585937512,0.000564350585937512,36.985280000000785,37
49,00000DEB,3563,0.0543670654296875,0.053803,0.0005640654296875033,0.0005640654296875033,36.96659200000022,37
50,FFFFFD2F,-721,-0.0110015869140625,-0.011222,0.00022041308593749934,0.00022041308593749934,14.444991999999957,14
51,00003DA7,15783,0.2408294677734375,0.241714,-0.0008845322265625122,0.0008845322265625122,57.9687040000008,-58
52,00003B4D,15181,0.2316436767578125,0.232499,-0.0008553232421875112,0.0008553232421875112,56.054464000000735,-56
53,FFFFC8EE,-14098,-0.215118408203125,-0.216761,0.0016425917968750092,0.0016425917968750092,107.6488960000006,108
54,FFFFF52A,-2774,-0.042327880859375,-0.041303,-0.0010248808593750006,0.0010248808593750006,67.16659200000004,-67
55,000036E8,14056,0.2144775390625,0.215625,-0.001147460937500011,0.001147460937500011,75.20000000000073,-75
56,FFFFF3D5,-3115,-0.0475311279296875,-0.047718,0.00018687207031250347,0.00018687207031250347,12.246848000000227,12
