index,rtl_hex,rtl_q16_integer,rtl_float,reference_float,signed_error,absolute_error,absolute_error_lsb,error_vs_rounded_reference_lsb
0,000020D8,8408,0.1282958984375,0.129027,-0.0007311015625000028,0.0007311015625000028,47.91347200000018,-48
1,000009F0,2544,0.038818359375,0.038576,0.00024235937500000082,0.00024235937500000082,15.883264000000054,16
2,000003F4,1012,0.01544189453125,0.014875,0.0005668945312500007,0.0005668945312500007,37.152000000000044,37
3,000011B1,4529,0.0691070556640625,0.069687,-0.0005799443359374989,0.0005799443359374989,38.00723199999993,-38
4,FFFFFA10,-1520,-0.023193359375,-0.021549,-0.0016443593750000013,0.0016443593750000013,107.76473600000008,-108
5,00001EDB,7899,0.1205291748046875,0.120365,0.00016417480468750023,0.00016417480468750023,10.759360000000015,11
6,00003990,14736,0.224853515625,0.22542,-0.0005664843750000093,0.0005664843750000093,37.12512000000061,-37
7,00000CEC,3308,0.05047607421875,0.050251,0.00022507421875000294,0.00022507421875000294,14.750464000000193,15
8,00000000,0,0.0,-0.001778,0.001778,0.001778,116.523008,117
9,00002FC7,12231,0.1866302490234375,0.188531,-0.0019007509765625041,0.0019007509765625041,124.56761600000027,-125
10,FFFFEF41,-4287,-0.0654144287109375,-0.066717,0.0013025712890624985,0.0013025712890624985,85.3653119999999,85
11,00003D42,15682,0.239288330078125,0.241117,-0.001828669921874998,0.001828669921874998,119.84371199999987,-120
12,000014D2,5330,0.081329345703125,0.080028,0.001301345703124998,0.001301345703124998,85.28499199999987,85
13,000029BC,10684,0.16302490234375,0.164163,-0.0011380976562500034,0.0011380976562500034,74.58636800000022,-75
14,00003BFB,15355,0.2342987060546875,0.236076,-0.001777293945312508,0.001777293945312508,116.47673600000053,-116
15,FFFFF22D,-3539,-0.0540008544921875,-0.054469,0.0004681455078124966,0.0004681455078124966,30.680383999999776,31
16,0000539D,21405,0.3266143798828125,0.326272,0.00034237988281249354,0.00034237988281249354,22.438207999999577,22
17,00000BBB,3003,0.0458221435546875,0.045663,0.0001591435546874978,0.0001591435546874978,10.429631999999856,10
18,00003304,13060,0.19927978515625,0.199818,-0.0005382148437499956,0.0005382148437499956,35.27244799999971,-35
19,00005622,22050,0.336456298828125,0.334944,0.0015122988281249805,0.0015122988281249805,99.11001599999872,99
20,FFFFE3EB,-7189,-0.1096954345703125,-0.109779,8.356542968750158e-05,8.356542968750158e-05,5.4765440000001036,5
21,00001987,6535,0.0997161865234375,0.098914,0.0008021865234374981,0.0008021865234374981,52.572095999999874,53
22,00003781,14209,0.2168121337890625,0.216625,0.000187133789062488,0.000187133789062488,12.263999999999214,12
23,FFFFE868,-6040,-0.0921630859375,-0.093473,0.0013099140625000005,0.0013099140625000005,85.84652800000003,86
24,FFFFCEBD,-12611,-0.1924285888671875,-0.193697,0.001268411132812508,0.001268411132812508,83.12659200000053,83
25,00002C36,11318,0.172698974609375,0.171248,0.0014509746093749887,0.0014509746093749887,95.09107199999926,95
26,00000D5F,3423,0.0522308349609375,0.050894,0.0013368349609374983,0.0013368349609374983,87.61081599999989,88
27,0000462F,17967,0.2741546630859375,0.27294,0.001214663085937484,0.001214663085937484,79.60415999999896,80
28,00004311,17169,0.2619781494140625,0.261962,1.6149414062527345e-05,1.6149414062527345e-05,1.058368000001792,1
29,FFFFEF39,-4295,-0.0655364990234375,-0.065123,-0.00041349902343749967,0.00041349902343749967,27.09907199999998,-27
30,00003405,13317,0.2032012939453125,0.204087,-0.0008857060546874906,0.0008857060546874906,58.04563199999939,-58
